"Пројекат","Датум настанка","Датум измене","УРЛ","Слика","Опис"
"Carvisor","10.2016","10.2018","","/img/portfolio/carvisor-lg-001.webp","Пословно решење за аутомобилску продајну мрежу. Сајт је промењен од постављања и тренутно (август 2019) више није јавно доступан. Технологије: Angular 2 (Typescript, HTML5, CSS3)."
"Eauto","03.2013","04.2014","/prezentacije/Eauto/index.html","/img/portfolio/eauto-lg-001.webp","Берза аутомобила слична сајту polovniautomobili.com. Моје задужење је било да претворим дизајн сајта задат у облику PSD фајлова у HTML/CSS/JS. Сајт тренутно није јавно доступан осим као копија концепта на мом сајту. Технологије: JavaScript/jQuery, HTML, CSS."
"Mathewerkstatt","03.2013","","http://www.mathewerkstatt.at/","/img/portfolio/mws-lg.webp","Сајт приватне математичке школе. Тражено је да се омогући измена постојећег статичког садржаја од стране веб администратора, локализација на више језика и створи основа за даља побољшања. Мој избор је био Zend Framework са базом MySQL, због скалабилности, ефикасности и флексибилности коју та комбинација пружа."
"SpreadGood","05.2014","06.2014","","/img/portfolio/spg-lg.webp","Добротворни сајт који вам поправља расположење уз помоћ чувених цитата. (Архивирани снимак екрана на http://strahinja.org/img/portfolio/spg-lg.png)"
"СУМФ","10.2001","","/prezentacije/sumf/","/img/portfolio/sumf-lg.webp","Тражено је да се постојећи сајт пребаци у PHP, освежи дизајн и да се дода MySQL база података за анкете. База није активна у сачуваном примерку сајта на приложеној вези, пошто је сајт СУМФ-а неколико пута мењан током година."
"SimpleBlog","10.2011","11.2011","/simpleblog","/img/portfolio/sb-lg.webp","Тест пример блог апликације у Зенд Фрејмворку. Користи се неколико могућности ЗФ-а, као што су: Zend_Db_Table за складиштење модела; Zend_Auth за аутентификацију корисника; Access Control Lists (ACL-ови) за управљање дозволама преко Zend_Acl, итд."

